#{"t_start": 1615678322.2314985, "env_id": null}
r,l,t,is_success,time
3243.177211,1,20.160329,False,500
3258.306033,1,47.204111,False,500
3226.560601,1,74.786372,False,500
40000,1,80.819226,True,102
3257.627932,1,108.100638,False,500
40000,1,114.154129,True,102
40000,1,130.265151,True,287
40000,1,136.277143,True,102
40000,1,142.321976,True,102
40000,1,161.437731,True,347
40000,1,181.376188,True,364
40000,1,187.350531,True,102
3243.415996,1,214.826192,False,500
3266.399116,1,242.135497,False,500
40000,1,248.071253,True,101
3256.270298,1,275.724536,False,500
40000,1,281.745847,True,102
3248.640011,1,304.306789,False,500
40000,1,328.868828,True,444
40000,1,340.706712,True,210
40000,1,346.66479,True,102
40000,1,352.689637,True,102
3256.185847,1,380.29197,False,500
40000,1,386.290698,True,102
40000,1,405.178146,True,340
40000,1,410.134908,True,111
40000,1,414.745034,True,102
40000,1,419.326711,True,102
40000,1,427.49183,True,193
40000,1,433.487981,True,101
40000,1,438.101447,True,102
3223.818254,1,458.458244,False,500
40000,1,464.524353,True,102
3234.916629,1,491.833298,False,500
40000,1,510.536951,True,337
3248.669857,1,538.080094,False,500
3259.702777,1,561.515136,False,500
40000,1,567.50554,True,102
3240.416667,1,595.336492,False,500
40000,1,601.332171,True,102
3232.758594,1,628.986101,False,500
40000,1,634.995843,True,102
3217.142553,1,662.525362,False,500
3228.058764,1,690.425968,False,500
3256.503127,1,718.756334,False,500
40000,1,724.75866,True,102
3216.583894,1,752.234983,False,500
40000,1,767.013852,True,359
3257.16439,1,794.347417,False,500
40000,1,801.519666,True,124
40000,1,807.504325,True,102
40000,1,813.673304,True,102
40000,1,819.819079,True,102
40000,1,826.710893,True,117
40000,1,831.321734,True,102
3243.621437,1,858.909281,False,500
3243.692719,1,886.793461,False,500
40000,1,892.865286,True,102
3247.250484,1,920.335709,False,500
40000,1,924.989532,True,102
40000,1,938.17428,True,320
40000,1,944.138179,True,102
40000,1,950.158466,True,102
3229.010974,1,977.267515,False,500
40000,1,995.320048,True,324
40000,1,999.935366,True,102
3203.422401,1,1027.655827,False,500
40000,1,1033.683225,True,102
40000,1,1042.0796,True,198
40000,1,1048.061916,True,102
3248.477476,1,1075.603891,False,500
40000,1,1081.547654,True,102
3220.675108,1,1109.144033,False,500
40000,1,1113.772661,True,102
40000,1,1129.169403,True,378
40000,1,1133.74787,True,102
40000,1,1139.599139,True,99
3240.935522,1,1159.95599,False,500
40000,1,1166.017988,True,102
3183.491,1,1193.501525,False,500
3245.176025,1,1221.026107,False,500
40000,1,1227.055845,True,102
40000,1,1233.036776,True,102
40000,1,1239.083465,True,102
3178.027665,1,1267.113645,False,500
40000,1,1278.062237,True,192
3260.693562,1,1298.40676,False,500
3248.777126,1,1326.320543,False,500
3226.126607,1,1353.880345,False,500
3233.1103,1,1374.209018,False,500
40000,1,1380.343058,True,102
